Title,AgeRating,Languages
Catch Me If You Can,"['English', 'French']",
Solaris,"['Russian', 'German']",
My Father and My Son,['Turkish'],
Hacksaw Ridge,"['English', 'Japanese']",
Arrival,"['English', 'Russian', 'Mandarin']",
Children of Heaven,['Persian'],
Room,['English'],
The Bandit,['Turkish'],
A Wednesday,"['Urdu', 'Hindi']",
Andaz Apna Apna,['Hindi'],
Hera Pheri,['Hindi'],
Sholay,['Hindi'],
Munna Bhai M.B.B.S.,['Hindi'],
Spotlight,['English'],
Drishyam,"['Hindi', 'English']",
Rogue One: A Star Wars Story,['English'],
The Message,"['English', 'Arabic']",
Udaan,['Hindi'],
Zootopia,['English'],
Chak De! India,['Hindi'],
Coco,"['English', 'Spanish']",
Dangal,"['Hindi', 'English']",
Blade Runner 2049,"['English', 'Finnish', 'Japanese', 'Hungarian', 'Russian', 'Somali', 'Spanish']",
Your Name.,['Japanese'],
Andrei Rublev,"['Russian', 'Italian', 'Tatar']",
Dunkirk,"['English', 'French', 'German']",
La La Land,"['English', 'Cantonese']",
Logan,"['English', 'Spanish']",
Thor: Ragnarok,['English'],
Paper Moon,['English'],
The Handmaiden,"['Korean', 'Japanese']",
Kahaani,['Hindi'],
Spider-Man: Into the Spider-Verse,"['English', 'Spanish']",
Avengers: Infinity War,['English'],
